,Machine,Encode,Threshold,Sensitivity,Specificity,Precision,Accuracy,MCC,F1,AUC,AUPRC
19,LGBM,W2V_3_128_100_40_1,0.5720000000000001,0.8741235669590355,0.9298718904021042,0.9259426333267968,0.902005626400283,0.8056475979283132,0.8990303918729999,0.962732803982876,0.965857295324206
120,LR,prott5,0.5,0.8975073840325345,0.9172867159234752,0.9158988660141868,0.9073996709510412,0.8154198652687539,0.9063378101323536,0.9622293197187596,0.9651461576532452
6,LGBM,CTDD,0.6880000000000001,0.8846223594789432,0.929872339279462,0.9266188661817464,0.9072504197339534,0.815439365532138,0.9050692037390952,0.962157762476526,0.9649819495016938
155,CNN,W2V_1_128_100_40_1,0.508,0.8804329870992648,0.928081767499484,0.9247424153935871,0.9042543896591032,0.8096619176978661,0.9019046401813842,0.9620096639055348,0.9656438785619708
146,bLSTM,prott5,0.5439999999999999,0.903208575353042,0.91368357737299,0.9133737019216038,0.9084495954270057,0.8173974501742783,0.9080117765485692,0.9617685349974197,0.9644941477185308
12,LGBM,BE,0.6120000000000001,0.879524010449865,0.9295819156290118,0.9263138123099888,0.9045518813626896,0.810856992227683,0.901801135770924,0.9600824668463692,0.9617297899145862
40,SVM,prott5,0.6000000000000001,0.8729340419610555,0.9388624550000452,0.935207032584598,0.9059030035544028,0.8141950943807718,0.9026066467713444,0.9596126884263656,0.9631124725368584
157,CNN,W2V_3_128_100_40_1,0.524,0.8855362737792779,0.9187980859869466,0.9166782343601289,0.9021580221125394,0.8055531719923561,0.9003760296311004,0.9584407487204338,0.9613707504321504
148,bLSTM,NN,0.796,0.8708436201061147,0.9340702403289374,0.9301529512108806,0.9024554015127269,0.8071819872305722,0.8990959943998382,0.957865765763304,0.9607795739657264
144,TX,W2V_2_128_100_40_1,0.756,0.8621475190548438,0.9289714424225012,0.924498515577714,0.8955639034415377,0.7935615883016423,0.891783730358901,0.9560224132069384,0.9581582399253186
150,bLSTM,W2V_2_128_100_40_1,0.6040000000000001,0.8912145723545413,0.8954093312625124,0.895397426154038,0.8933150278793189,0.7871646229551376,0.8929945631221404,0.9531545727822872,0.9559354927588004
3,LGBM,PAAC,0.544,0.8702291070033846,0.9070868757238146,0.904403107447987,0.8886712823363598,0.778634720875711,0.8865123921394004,0.9521360502047048,0.9550364472795154
1,LGBM,AAC,0.472,0.8828286455574608,0.8957051414412553,0.8947395373949325,0.889269185631903,0.7789313715204704,0.8885476861499111,0.9519867443084068,0.9531082926510976
145,TX,W2V_3_128_100_40_1,0.6719999999999999,0.8855223585811884,0.9118956988571584,0.9097407548794844,0.8987096339470714,0.7980540074082879,0.8972436227338617,0.9516541867544892,0.9539881671832072
142,TX,NN,0.568,0.8810362782680515,0.8969220479580569,0.8956168406694813,0.8889704585909293,0.778623865848232,0.8879161641910759,0.9515756786430062,0.9535786135703916
141,TX,BE,0.5359999999999999,0.8876208602285682,0.8921163669662174,0.8918874462708448,0.8898691103886257,0.7801603368476553,0.8895073612691565,0.9513971381787044,0.9525098663556106
58,SVM,W2V_2_128_100_40_1,0.628,0.8501602492167091,0.9358657497598506,0.9306514258683498,0.8930164131417436,0.7896823481592131,0.8880781641309475,0.9504725187927184,0.9543431774581452
147,bLSTM,BE,0.552,0.8660374902369175,0.9196787833628096,0.915705778759839,0.8928671619246558,0.7875395831205492,0.8897447741260326,0.9499271789021771,0.9526458571447064
52,SVM,BE,0.5800000000000001,0.866043325642568,0.919691351928826,0.9154875141712432,0.8928657019804704,0.7873702131574876,0.8897462637490087,0.9495958640049932,0.9520916577822514
7,LGBM,CKSAAP,0.6119999999999999,0.8627588900160699,0.9128055732612737,0.9091054450690932,0.8877703844706861,0.7778113665889018,0.8844709993388818,0.9490366896739084,0.9518620537345482
2,LGBM,DPC,0.6119999999999999,0.8627588900160699,0.9128055732612737,0.9091054450690932,0.8877703844706861,0.7778113665889018,0.8844709993388818,0.9490366896739084,0.9518620537345482
143,TX,W2V_1_128_100_40_1,0.5199999999999999,0.8759365826069001,0.9025994487786048,0.9004324802521596,0.8892705332726895,0.7793364699022105,0.8876944794285796,0.9487770841123352,0.951685633623232
59,SVM,W2V_3_128_100_40_1,0.5960000000000001,0.8495542647837759,0.928663063677742,0.923812433299006,0.8891215066623991,0.7816455949553349,0.8844925244973615,0.948032681582702,0.9529987759948008
149,bLSTM,W2V_1_128_100_40_1,0.528,0.8729416728761368,0.895413371158732,0.893914067634339,0.8841764511002926,0.7693682110377054,0.8828206113982621,0.947737952882091,0.951966195248929
54,SVM,BLOSUM62,0.5800000000000001,0.8498451373115838,0.9253804235606748,0.9216658942801692,0.8876219193773899,0.7797098992559764,0.8827562206392668,0.9476593162315144,0.9527233472112128
53,SVM,EAAC,0.548,0.862753503487777,0.9175892592625844,0.9129887658488888,0.8901704204077736,0.7817077252489034,0.8870379236449153,0.9465064750121416,0.952038390698673
151,bLSTM,W2V_3_128_100_40_1,0.732,0.8630538024400973,0.911597195414269,0.9076760235646768,0.887323304639815,0.7762785273881658,0.8843371134996685,0.9456502579402738,0.9477240444527142
138,LR,W2V_2_128_100_40_1,0.54,0.8699611272208208,0.8918286365799137,0.8912141146347358,0.8808781002757049,0.7638758196842893,0.8792494065308922,0.9433187256841554,0.9441880546005448
42,SVM,DPC,0.5800000000000001,0.8303966280332886,0.91010512707718,0.90303943663983,0.8702422945830455,0.7436165029212197,0.8646975491908255,0.937848084033287,0.9424421716789172
47,SVM,CKSAAP,0.5800000000000001,0.8306964781082513,0.91010512707718,0.903131951635755,0.8703919950137291,0.7439716061428185,0.864857081139459,0.9378474110537404,0.9424417966837112
4,LGBM,CTDC,0.528,0.858553806928871,0.8738394275915933,0.8718800701639653,0.8661956662118377,0.7326528857140517,0.8650546461699775,0.935885286019605,0.9400789310746128
55,SVM,ZSCALE,0.608,0.814818788210685,0.921487310237097,0.9134906392848354,0.8681444670922966,0.7415696082644054,0.8606053659373416,0.9337650669857596,0.943257079430517
103,KN,PAAC,0.4399999999999999,0.8696576861269962,0.8732424207058148,0.8742251679364135,0.8714412456693003,0.7448148503208418,0.8706908717016477,0.9336562805149956,0.9395726087678338
43,SVM,PAAC,0.548,0.8390743251128926,0.905901839499412,0.8995527600208117,0.8724886994704895,0.7471400939674376,0.8679193958738451,0.933512559002977,0.9397932851968508
137,LR,W2V_1_128_100_40_1,0.58,0.8124150499600498,0.9131049744588784,0.9043031746515162,0.8627492995075496,0.7301647981484883,0.8552478696270358,0.931590044871988,0.9324770187050035
41,SVM,AAC,0.532,0.8441524746608732,0.8774048604440295,0.8759234646778534,0.8608011724474842,0.7241877834130227,0.858352228295324,0.931255668927335,0.934824596083234
132,LR,BE,0.52,0.8618485667345969,0.8702439199561895,0.8696745278676072,0.8660448427471656,0.7327526353180686,0.8653669961367063,0.9310416587395284,0.9307152840673016
139,LR,W2V_3_128_100_40_1,0.5439999999999999,0.8558793956315256,0.8732482561114653,0.8718117913178995,0.8645479507437294,0.7301593934377287,0.8631773817684435,0.9301520033329176,0.9354767121787128
11,LGBM,CTriad,0.5,0.8564562030362064,0.8642653224286061,0.8642767035895826,0.8603533064928209,0.7217496844872293,0.8597105641654587,0.9277779212719724,0.935249861248379
133,LR,EAAC,0.5720000000000001,0.8067044322150302,0.8983966100781945,0.8906096150605979,0.8525606859491603,0.7101993235984321,0.8451659182825285,0.9248522698853108,0.9273552112946424
101,KN,AAC,0.5599999999999999,0.8112178940469885,0.8960036448841449,0.8890126565722186,0.8536091504809391,0.7117028030634691,0.8471346317320299,0.922308942890054,0.9287257856846154
57,SVM,W2V_1_128_100_40_1,0.544,0.8061159539990485,0.8990196518507213,0.8896082929543979,0.8525604613423624,0.7090661991249007,0.8451856667591147,0.9175535970669292,0.923252642266276
